# 备份成交的订单，过后查看.

2020-07-10 04:40:09,677 - root - INFO - 卖单成交时间: 2020-07-10 04:40:09.677429, 价格: 16.719, 数量: 20
2020-07-10 04:44:35,608 - root - INFO - 卖单成交时间: 2020-07-10 04:44:35.608604, 价格: 16.788, 数量: 20
2020-07-10 05:03:09,714 - root - INFO - 卖单成交时间: 2020-07-10 05:03:09.714133, 价格: 16.838, 数量: 20
2020-07-10 05:05:23,783 - root - INFO - 卖单成交时间: 2020-07-10 05:05:23.783027, 价格: 16.838, 数量: 20
2020-07-10 06:06:28,535 - root - INFO - 买单成交时间: 2020-07-10 06:06:28.535735, 价格: 16.787, 数量: 20
2020-07-10 06:08:49,710 - root - INFO - 买单成交时间: 2020-07-10 06:08:49.710795, 价格: 16.787, 数量: 20
2020-07-10 06:12:58,278 - root - INFO - 卖单成交时间: 2020-07-10 06:12:58.278360, 价格: 16.837, 数量: 20
2020-07-10 06:29:54,129 - root - INFO - 买单成交时间: 2020-07-10 06:29:54.129476, 价格: 16.786, 数量: 20
2020-07-10 06:38:26,295 - root - INFO - 卖单成交时间: 2020-07-10 06:38:26.295160, 价格: 16.836, 数量: 20
2020-07-10 07:01:47,640 - root - INFO - 买单成交时间: 2020-07-10 07:01:47.640187, 价格: 16.785, 数量: 20
2020-07-10 07:48:03,734 - root - INFO - 卖单成交时间: 2020-07-10 07:48:03.734304, 价格: 16.835, 数量: 20
2020-07-10 08:04:33,457 - root - INFO - 买单成交时间: 2020-07-10 08:04:33.457646, 价格: 16.784, 数量: 20
2020-07-10 08:08:50,312 - root - INFO - 买单成交时间: 2020-07-10 08:08:50.312881, 价格: 16.734, 数量: 20
2020-07-10 08:08:51,697 - root - INFO - 买单成交时间: 2020-07-10 08:08:51.697271, 价格: 16.700, 数量: 20
2020-07-10 08:10:59,005 - root - INFO - 卖单成交时间: 2020-07-10 08:10:59.005322, 价格: 16.750, 数量: 20
2020-07-10 08:15:06,430 - root - INFO - 卖单成交时间: 2020-07-10 08:15:06.430203, 价格: 16.784, 数量: 20
2020-07-10 08:36:01,707 - root - INFO - 卖单成交时间: 2020-07-10 08:36:01.707485, 价格: 16.834, 数量: 20
2020-07-10 08:44:23,861 - root - INFO - 买单成交时间: 2020-07-10 08:44:23.861417, 价格: 16.783, 数量: 20
2020-07-10 08:46:38,295 - root - INFO - 买单成交时间: 2020-07-10 08:46:38.295871, 价格: 16.734, 数量: 20
2020-07-10 08:46:39,704 - root - INFO - 买单成交时间: 2020-07-10 08:46:39.704676, 价格: 16.733, 数量: 20
2020-07-10 09:01:59,888 - root - INFO - 买单成交时间: 2020-07-10 09:01:59.887689, 价格: 16.683, 数量: 20
2020-07-10 09:31:35,609 - root - INFO - 卖单成交时间: 2020-07-10 09:31:35.608747, 价格: 16.733, 数量: 20
2020-07-10 09:33:40,500 - root - INFO - 卖单成交时间: 2020-07-10 09:33:40.500098, 价格: 16.783, 数量: 20
2020-07-10 09:37:47,553 - root - INFO - 卖单成交时间: 2020-07-10 09:37:47.553445, 价格: 16.833, 数量: 20
2020-07-10 09:39:50,927 - root - INFO - 买单成交时间: 2020-07-10 09:39:50.927046, 价格: 16.783, 数量: 20
2020-07-10 10:27:41,589 - root - INFO - 买单成交时间: 2020-07-10 10:27:41.589105, 价格: 16.733, 数量: 20
2020-07-10 10:40:25,331 - root - INFO - 买单成交时间: 2020-07-10 10:40:25.330822, 价格: 16.683, 数量: 20
